1101010100010002,1087,1
1101010100010003,1088,1
1101010100010004,3050,1
1101010100010005,3051,1
1101010100010006,3052,1
1101010100010007,3053,1
1101010100010008,3054,1
1101010100010009,3055,1
1101010100010010,3057,1
1101010100010011,3056,1
1101010100010012,3058,1
1101010100010013,3059,1
1101010100010014,3060,1
1101010100010015,3061,1
1101010100010016,3062,1
1101010100010017,3063,1
1101010100010018,3064,1
1101010100010019,3065,1
1101010100010020,3066,1
1101010100010021,3067,1
1101010100010022,3068,1
1101010100010023,3069,1
1101010100010024,3070,1
1101010100010025,3071,1
1101010100010026,3072,1
1101010100010027,3073,1
1101010100010028,3075,1
1101010100010029,3074,1
1101010100010030,3076,1
1101010100010031,3077,1
1101010100010032,3078,1
1101010100010033,3079,1
1101010100010034,3080,1
1101010100010035,3081,1
1101010100010036,3082,1
1101010100010037,3083,1
1101010100010038,3084,1
1101010100010039,3085,1
1101010100010040,3046,1
1101010100010041,3087,1
1101010100010042,3048,1
1101010100010043,3089,1
1101010100010044,3090,1
1101010100010045,3091,1
1101010100010046,3092,1
1101010100010047,3093,1
1101010100010048,3094,1
1101010100010049,3095,1
1101010100010050,3096,1
1101010100010051,3095,1
1101010100010052,3097,1
1101010100010053,3098,1
1101010100010054,3099,1
1101010100010055,4010,1
1101010100010056,4011,1
1101010100010057,4012,1
1101010100010058,4013,1
1101010100010059,4014,1
1101010100010060,4015,1
1101010100010061,4016,1
1101010100010062,4017,1
1101010100010063,4018,1
1101010100010064,4019,1
1101010100010065,4021,1
1101010100010066,4022,1
1101010100010067,4023,1
1101010100010068,4024,1
1101010100010069,4025,1
1101010100010070,4026,1
1101010100010071,4027,1
1101010100010072,4028,1
1101010100010073,4028,1
1101010100010074,4029,1
1101010100010075,4030,1
1101010100010076,4031,1
1101010100010077,4032,1
1101010100010078,4033,1
1101010100010079,4034,1
1101010100010080,4035,1
1101010100010081,4036,1
1101010100010082,4037,1
1101010100010083,4038,1
1101010100010084,4039,1
1101010100010085,4040,1
1101010100010086,4041,1
1101010100010087,4042,1
1101010100010088,4043,1
1101010100010089,4044,1
1101010100010090,4045,1
1101010100010091,4046,1
1101010100010092,4027,1
1101010100010093,4048,1
1101010100010094,4029,1
1101010100010095,4030,1
1101010100010096,4031,1
1101010100010097,4032,1
1101010100010098,4033,1
1101010100010099,4034,1
1101010100010100,4035,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
